Manhattan Rolling Sales.  All Sales From October 2021 - September 2022																			 PTS Sales Data as of 10/11/2022 	
For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.                   Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.																		  	  	
Building Class Category is based on Building Class at Time of Sale.																				
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.																				
BOROUGH	NEIGHBORHOOD	BUILDING CLASS CATEGORY	TAX CLASS AT PRESENT	BLOCK	LOT	EASEMENT	BUILDING CLASS AT PRESENT	ADDRESS	APARTMENT NUMBER	ZIP CODE	RESIDENTIAL UNITS	COMMERCIAL UNITS	TOTAL UNITS	LAND SQUARE FEET	GROSS SQUARE FEET	YEAR BUILT	TAX CLASS AT TIME OF SALE	BUILDING CLASS AT TIME OF SALE	 SALE PRICE 	SALE DATE
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	389	54		C6	613 EAST 6TH STREET, 4A		10009						1920	2	C6	1,187,500	05-08-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	390	42		C6	219 EAST 7TH STREET, 16		10009						1910	2	C6	475,000	18-11-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	390	55		C6	199 EAST 7TH STREET, 2B		10009						1935	2	C6	747,500	27-06-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	390	55		C6	199 EAST 7TH STREET, 3A		10009						1935	2	C6	1,645,000	21-07-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	391	14		C6	616 EAST 9TH STREET, 3W		10009						1910	2	C6	605,000	22-09-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	391	57		C6	303 EAST 8 STREET, DE		10009						1900	2	C6	1,225,000	07-04-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	391	57		C6	303 EAST 8TH STREET, 1R		10009						1900	2	C6	0	18-02-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	391	57		C6	303 EAST 8TH STREET, 1R		10009						1900	2	C6	1,420,000	18-02-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	392	36		C6	149 AVE C, 1R		10009						1900	2	C6	463,000	15-11-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	392	36		C6	149 AVENUE C, 3R		10009						1900	2	C6	620,000	17-06-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	392	36		C6	149 AVENUE C, 4R		10009						1900	2	C6	485,000	14-12-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	394	52		C6	633 EAST 11TH STREET, 10		10009						1937	2	C6	499,998	07-07-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	394	52		C6	633 EAST 11TH STREET, 20		10009						1937	2	C6	347,500	29-09-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	396	20		C6	626 EAST 14 STREET, 14		10009						1920	2	C6	474,000	16-02-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	396	20		C6	628 EAST 14TH STREET, 10		10009						1920	2	C6	499,950	14-04-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	396	20		C6	628 EAST 14TH STREET, 18		10009						1920	2	C6	430,000	05-10-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	396	20		C6	630 EAST 14TH STREET, 15		10009						1920	2	C6	375,000	09-12-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	396	20		C6	630 EAST 14TH STREET, 3		10009						1920	2	C6	387,000	12-05-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	396	20		C6	632 EAST 14TH STREET, 2		10009						1920	2	C6	0	28-04-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	396	20		C6	632 EAST 14TH STREET, 3		10009						1920	2	C6	495,000	10-01-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	396	20		C6	632 EAST 14TH STREET, 4		10009						1920	2	C6	395,000	06-10-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	396	20		C6	632 EAST 14TH STREET, 6		10009						1920	2	C6	422,300	01-02-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	396	20		C6	634 EAST 14TH STREET, 13/14		10009						1920	2	C6	975,000	20-10-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	396	20		C6	634 EAST 14TH STREET, 19		10009						1920	2	C6	410,000	13-01-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	396	20		C6	636 EAST 14TH STREET, 17		10009						1920	2	C6	540,000	06-12-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	396	20		C6	636 EAST 14TH STREET, 3		10009						1920	2	C6	449,000	08-07-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	397	11		C6	155 EAST 2ND STREET, 1A		10009						1900	2	C6	392,000	07-02-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	397	25		C6	185 EAST 2ND STREET, 3B		10009						1915	2	C6	458,000	09-05-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	397	25		C6	185 EAST 2ND STREET, 5D		10009						1915	2	C6	415,000	19-11-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	400	45		C6	225 EAST 4TH STREET, 11		10009						1937	2	C6	380,000	05-05-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	400	45		C6	225 EAST 4TH STREET, 14		10009						1937	2	C6	330,000	30-11-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	400	47		C6	223 EAST 4TH STREET, 1		10009						1937	2	C6	550,000	08-04-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	401	12		C6	504 EAST 6TH STREET, 1		10009						1900	2	C6	400,000	27-01-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	401	12		C6	504 EAST 6TH STREET, 2		10009						1900	2	C6	400,000	27-01-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	401	12		C6	504 EAST 6TH STREET, 3		10009						1900	2	C6	400,000	27-01-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	401	12		C6	504 EAST 6TH STREET, 5		10009						1900	2	C6	400,000	27-01-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	401	57		C6	513 EAST 5TH STREET, 1B		10009						1929	2	C6	865,000	28-04-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	402	48		C6	535 EAST 6TH STREET, 6		10009						1900	2	C6	999,500	09-09-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	402	53		C6	525 EAST 6TH STREET, 7		10009						1920	2	C6	450,000	08-11-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	404	10		C6	512 E 11 ST, 4C		10009						1929	2	C6	320,000	21-03-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	404	10		C6	512 EAST 11TH STREET, 1A		10009						1929	2	C6	310,000	24-03-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	404	13		C6	518 EAST 11TH STREET, 5A		10009						1900	2	C6	1,090,000	10-05-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	404	21		C6	534 EAST 11TH STREET, 2/3		10009						1920	2	C6	760,000	29-04-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	404	21		C6	534 EAST 11TH STREET, 20		10009						1920	2	C6	340,000	11-01-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	404	26		C6	544 EAST 11TH STREET, 4B		10009						1928	2	C6	732,000	16-06-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	404	49		C6	313 EAST 10TH STREET, 3		10009						1900	2	C6	1,725,000	30-11-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	404	49		C6	313 EAST 10TH STREET, 4		10009						1900	2	C6	1,900,000	16-12-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	404	49		C6	313 EAST 10TH STREET, 5		10009						1900	2	C6	1,090,000	22-12-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	404	50		C6	311 EAST 10TH STREET, 4A		10009						1900	2	C6	999,000	08-06-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	404	57		C6	297 EAST 10TH STREET, 4A		10009						1925	2	C6	950,000	16-08-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	406	13		C6	514 EAST 13TH STREET, 3R		10009						1900	2	C6	320,000	20-09-2022
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2	406	40		C6	549 EAST 12TH STREET, 5A		10009						1900	2	C6	550,000	06-10-2021
1	ALPHABET CITY	09 COOPS - WALKUP APARTMENTS	2C	407	44		C6	533 EAST 13TH STREET, GA		10009						1900	2	C6	738,000	25-04-2022
1	ALPHABET CITY	10 COOPS - ELEVATOR APARTMENTS	2	379	45		D0	735 EAST 9TH STREET, 1B		10009						1920	2	D0	0	13-12-2021
1	ALPHABET CITY	10 COOPS - ELEVATOR APARTMENTS	2	385	56		D4	226 EAST 2ND STREET, C2		10009						1900	2	D4	995,000	04-10-2021
1	ALPHABET CITY	10 COOPS - ELEVATOR APARTMENTS	2	386	36		D0	300 EAST 4TH STREET, 3B		10009						1940	2	D0	1,160,000	14-03-2022
1	ALPHABET CITY	10 COOPS - ELEVATOR APARTMENTS	2	386	36		D0	300 EAST 4TH STREET, 3C		10009						1940	2	D0	980,000	24-06-2022
1	ALPHABET CITY	10 COOPS - ELEVATOR APARTMENTS	2	386	36		D0	300 EAST 4TH STREET, 4B		10009						1940	2	D0	1,295,000	29-06-2022
1	ALPHABET CITY	10 COOPS - ELEVATOR APARTMENTS	2	386	58		D4	223 EAST 3RD STREET, 5D		10009						1900	2	D4	695,000	22-12-2021
1	ALPHABET CITY	10 COOPS - ELEVATOR APARTMENTS	2	387	44		D4	283 EAST 4 STREET, 2B		10009						1920	2	D4	400,000	01-07-2022
1	ALPHABET CITY	10 COOPS - ELEVATOR APARTMENTS	2	387	44		D4	283 EAST 4TH STREET, 4B		10009						1920	2	D4	459,000	07-09-2022
1	ALPHABET CITY	10 COOPS - ELEVATOR APARTMENTS	2	387	44		D4	283 EAST 4TH STREET, 4F		10009						1920	2	D4	444,000	28-04-2022
1	ALPHABET CITY	10 COOPS - ELEVATOR APARTMENTS	2	398	8		D4	160 EAST 3RD STREET, 1C		10009						1940	2	D4	518,246	23-03-2022
1	ALPHABET CITY	10 COOPS - ELEVATOR APARTMENTS	2	398	8		D4	160 EAST 3RD STREET, 4I		10009						1940	2	D4	81,000	27-04-2022
1	ALPHABET CITY	12 CONDOS - WALKUP APARTMENTS	2	386	1002		R2	211 EAST 3RD STREET, 1B	1B	10009	1		1				2	R2	650,000	21-10-2021
1	ALPHABET CITY	12 CONDOS - WALKUP APARTMENTS	2	393	1018		R2	383 EAST 10TH STREET, B1	B1	10009	1		1				2	R2	0	05-05-2022
1	ALPHABET CITY	12 CONDOS - WALKUP APARTMENTS	2	393	1018		R2	383 EAST 10TH STREET, B1	B1	10009	1		1				2	R2	1,350,000	13-01-2022
1	ALPHABET CITY	12 CONDOS - WALKUP APARTMENTS	2	393	1020		R2	383 EAST 10TH STREET, D1	D1	10009	1		1				2	R2	1,375,000	24-06-2022
1	ALPHABET CITY	12 CONDOS - WALKUP APARTMENTS	2	394	1207		R2	613 EAST 11TH STREET, A3	A3	10009	1		1				2	R2	1,700,000	19-11-2021
1	ALPHABET CITY	12 CONDOS - WALKUP APARTMENTS	2	398	1003		R2	182 EAST 2ND STREET, 1C	1C	10009	1		1				2	R2	0	21-06-2022
1	ALPHABET CITY	13 CONDOS - ELEVATOR APARTMENTS	2	375	1003		R4	754 EAST 6TH STREET, 2A	2A	10009	1		1				2	R4	975,000	17-02-2022
1	ALPHABET CITY	13 CONDOS - ELEVATOR APARTMENTS	2	375	1013		R4	754 EAST 6TH STREET, 4B	4B	10009	1		1				2	R4	900,000	21-04-2022
1	ALPHABET CITY	13 CONDOS - ELEVATOR APARTMENTS	2	375	1025		R4	754 EAST 6TH STREET, 6D	6D	10009	1		1				2	R4	1,219,265	19-07-2022
1	ALPHABET CITY	13 CONDOS - ELEVATOR APARTMENTS	2	378	1007		R4	399 EAST 8TH STREET, 3A	3A	10009	1		1			2014	2	R4	952,064	14-07-2022
1	ALPHABET CITY	13 CONDOS - ELEVATOR APARTMENTS	2	390	1008		R4	217 EAST 7 STREET, 2C	2C	10009	1		1				2	R4	700,000	17-08-2022
1	ALPHABET CITY	13 CONDOS - ELEVATOR APARTMENTS	2	390	1011		R4	217 EAST 7TH STREET, 3C-D	3C-D	10009	1		1				2	R4	1,325,000	02-09-2022
1	ALPHABET CITY	13 CONDOS - ELEVATOR APARTMENTS	2	390	1013		R4	217 EAST 7TH STREET, 4C-D	4C-D	10009	1		1				2	R4	1,500,000	18-05-2022
1	ALPHABET CITY	13 CONDOS - ELEVATOR APARTMENTS	2	390	1014		R4	217 EAST 7TH STREET, 5A-B	5A-B	10009	1		1				2	R4	0	09-12-2021
1	ALPHABET CITY	13 CONDOS - ELEVATOR APARTMENTS	2	392	1013		R4	143 AVENUE B, 4B	4B	10009	1		1			1928	2	R4	0	03-08-2022
1	ALPHABET CITY	13 CONDOS - ELEVATOR APARTMENTS	2	392	1025		R4	143 AVENUE B, 6D	6D	10009	1		1			1928	2	R4	1,030,000	20-04-2022
1	ALPHABET CITY	13 CONDOS - ELEVATOR APARTMENTS	2	392	1035		R4	143 AVENUE B, 7G	7G	10009	1		1			1928	2	R4	1,672,500	05-05-2022
1	ALPHABET CITY	13 CONDOS - ELEVATOR APARTMENTS	2	392	1054		R4	143 AVENUE B, 10E	10E	10009	1		1			1928	2	R4	1,850,000	19-11-2021
1	ALPHABET CITY	13 CONDOS - ELEVATOR APARTMENTS	2	392	1055		R4	143 AVENUE B, 10F	10F	10009	1		1			1928	2	R4	1,850,000	19-11-2021
1	ALPHABET CITY	13 CONDOS - ELEVATOR APARTMENTS	2	392	1064		R4	143 AVENUE B, 12A	12A	10009	1		1			1928	2	R4	1,100,000	27-09-2022
